tick,0,1,3,2,4,6,7,8,9
0,1,1,1,1,0.95,1,0.95,1,1
11,1,1,1,1,0.95,1,0.9,1,1
20,1,1,1,1,0.95,0.95,0.9,1,1
28,1,1,1,1,0.95,0.9,0.9,1,1
34,1,1,1,1,0.95,0.9,0.85,1,1
41,1,1,1,1,0.95,0.85,0.85,1,1
47,1,1,0.95,1,0.95,0.85,0.8,1,1
55,1,0.95,0.9,1,0.95,0.85,0.75,1,1
61,1,0.95,0.9,1,0.95,0.85,0.7,1,1
66,1,0.9,0.9,1,0.95,0.85,0.7,1,1
72,1,0.9,0.9,1,0.95,0.85,0.65,1,1
80,1,0.9,0.9,1,0.95,0.85,0.6,1,1
87,1,0.85,0.85,1,0.95,0.85,0.6,1,1
92,1,0.85,0.85,1,0.95,0.85,0.55,1,1
100,1,0.8,0.85,1,0.95,0.85,0.55,1,1
106,1,0.75,0.85,1,0.95,0.85,0.55,1,1
113,1,0.75,0.85,1,0.95,0.85,0.5,1,1
120,1,0.7,0.85,1,0.95,0.85,0.5,1,1
128,1,0.65,0.85,1,0.95,0.85,0.5,1,1
135,1,0.65,0.8,1,0.95,0.85,0.5,1,1
143,1,0.65,0.8,1,0.9,0.85,0.5,1,1
149,1,0.6,0.8,1,0.9,0.85,0.5,1,1
155,1,0.55,0.8,1,0.9,0.85,0.5,1,1
163,1,0.55,0.8,1,0.9,0.85,0.5,1,0.95
169,1,0.5,0.8,1,0.9,0.85,0.5,1,0.95
176,1,0.5,0.8,1,0.9,0.8,0.5,1,0.95
183,1,0.5,0.8,1,0.9,0.8,0.45,1,0.9
189,1,0.45,0.8,1,0.9,0.8,0.45,1,0.9
195,1,0.45,0.8,1,0.85,0.8,0.45,1,0.9
202,1,0.45,0.8,1,0.85,0.75,0.45,1,0.9
209,1,0.45,0.8,1,0.85,0.75,0.4,1,0.9
214,1,0.45,0.75,1,0.85,0.75,0.4,1,0.9
221,1,0.45,0.75,1,0.85,0.75,0.4,1,0.85
226,1,0.45,0.75,1,0.85,0.75,0.4,1,0.8
233,1,0.45,0.75,1,0.85,0.7,0.4,1,0.8
240,1,0.45,0.7,1,0.85,0.7,0.4,1,0.8
246,1,0.4,0.7,1,0.85,0.7,0.4,1,0.8
253,1,0.35,0.7,1,0.85,0.7,0.4,1,0.8
260,1,0.35,0.7,1,0.85,0.7,0.4,1,0.75
266,1,0.3,0.7,1,0.85,0.7,0.4,1,0.75
274,1,0.3,0.65,1,0.85,0.7,0.4,1,0.75
282,1,0.3,0.65,1,0.85,0.7,0.4,1,0.7
289,1,0.25,0.6,1,0.85,0.7,0.4,1,0.7
296,1,0.25,0.6,1,0.85,0.7,0.35,1,0.7
303,1,0.25,0.6,1,0.85,0.65,0.35,1,0.7
310,1,0.25,0.55,1,0.85,0.65,0.35,1,0.7
318,1,0.25,0.55,1,0.85,0.65,0.3,1,0.7
323,1,0.25,0.55,1,0.85,0.65,0.25,1,0.7
332,1,0.25,0.55,1,0.8,0.65,0.25,1,0.7
339,1,0.25,0.55,1,0.8,0.6,0.25,1,0.7
347,1,0.25,0.55,1,0.75,0.55,0.25,1,0.7
353,1,0.25,0.55,1,0.75,0.55,0.25,1,0.65
359,1,0.25,0.55,1,0.7,0.55,0.25,1,0.65
364,1,0.25,0.55,1,0.7,0.5,0.25,1,0.65
371,1,0.25,0.55,1,0.65,0.5,0.25,1,0.65
379,1,0.2,0.55,1,0.65,0.5,0.25,1,0.65
384,1,0.2,0.55,1,0.65,0.5,0.25,1,0.6
391,1,0.2,0.55,1,0.65,0.45,0.25,1,0.6
398,1,0.2,0.55,1,0.6,0.45,0.25,1,0.6
405,1,0.2,0.55,1,0.55,0.45,0.25,1,0.6
412,1,0.2,0.55,1,0.55,0.45,0.25,1,0.55
419,1,0.2,0.55,1,0.5,0.45,0.25,1,0.55
425,1,0.2,0.55,1,0.5,0.45,0.2,1,0.55
433,1,0.2,0.5,1,0.5,0.45,0.2,1,0.55
