tick,9,8,7,6,4,2,5,3,1,0
0,0.12,0.09,0.11,0.14,0.14,0.04,0.06,0.11,0.13,0.16
20,0.1,0.16,0.16,0.1,0.11,0.08,0.09,0.08,0.12,0.14
40,0.13,0.1,0.1,0.15,0.1,0.07,0.12,0.07,0.11,0.07
60,0.14,0.06,0.08,0.06,0.1,0.11,0.13,0.1,0.08,0.11
80,0.11,0.1,0.09,0.07,0.12,0.08,0.06,0.06,0.04,0.05
100,0.07,0.03,0.11,0.02,0.08,0.15,0.1,0.13,0.07,0.03
120,0.14,0.09,0.1,0.12,0.12,0.18,0.09,0.1,0.1,0.06
140,0.11,0.16,0.09,0.11,0.11,0.09,0.12,0.07,0.12,0.07
160,0.14,0.11,0.13,0.05,0.09,0.04,0.17,0.11,0.05,0.09
180,0.17,0.09,0.11,0.13,0.09,0.09,0.09,0.1,0.07,0.1
200,0.14,0.1,0.17,0.13,0.11,0.1,0.07,0.13,0.09,0.09
220,0.09,0.11,0.1,0.11,0.14,0.05,0.13,0.2,0.11,0.16
240,0.08,0.05,0.11,0.15,0.16,0.09,0.09,0.1,0.12,0.11
260,0.1,0.07,0.08,0.11,0.11,0.11,0.15,0.07,0.08,0.11
280,0.06,0.12,0.14,0.13,0.05,0.14,0.09,0.07,0.07,0.17
300,0.14,0.05,0.13,0.08,0.14,0.11,0.09,0.1,0.08,0.05
320,0.06,0.08,0.09,0.12,0.11,0.09,0.08,0.11,0.09,0.09
340,0.07,0.07,0.11,0.12,0.07,0.11,0.1,0.13,0.08,0.1
360,0.1,0.09,0.13,0.1,0.05,0.12,0.11,0.15,0.11,0.16
380,0.12,0.1,0.15,0.13,0.11,0.1,0.09,0.09,0.08,0.1
400,0.14,0.1,0.12,0.1,0.17,0.1,0.08,0.14,0.11,0.05
420,0.08,0.11,0.15,0.16,0.13,0.14,0.08,0.14,0.09,0.02
440,0.1,0.12,0.11,0.09,0.11,0.1,0.06,0.09,0.13,0.14
460,0.16,0.13,0.1,0.08,0.18,0.07,0.14,0.14,0.17,0.06
480,0.13,0.13,0.08,0.06,0.15,0.08,0.07,0.14,0.22,0.07
500,0.09,0.07,0.07,0.07,0.07,0.17,0.13,0.16,0.2,0.13
520,0.08,0.13,0.08,0.06,0.1,0.09,0.07,0.09,0.06,0.11
540,0.03,0.06,0.11,0.11,0.12,0.07,0.15,0.08,0.09,0.06
560,0.07,0.17,0.08,0.1,0.15,0.15,0.13,0.12,0.09,0.1
580,0.16,0.12,0.08,0.14,0.11,0.16,0.09,0.11,0.08,0.09
600,0.11,0.06,0.1,0.12,0.12,0.12,0.1,0.08,0.12,0.08
620,0.11,0.04,0.06,0.12,0.12,0.1,0.12,0.1,0.18,0.13
640,0.14,0.1,0.07,0.1,0.2,0.14,0.14,0.11,0.06,0.21
