tick,0,1,3,2
28,1,1,1,1
63,1,1,1,1
91,1,1,1,1
124,1,1,1,1
161,1,1,1,1
196,1,1,1,1
228,1,1,1,1
262,1,1,1,1
294,1,1,1,1
333,1,1,1,1
364,1,1,1,1
396,1,1,1,1
431,1,1,1,1
460,1,1,1,1
496,1,1,1,1
528,1,1,1,1
560,1,1,1,1
593,1,1,1,1
629,1,1,1,1
661,1,1,1,1
693,1,1,1,1
724,1,1,1,1
761,1,1,1,1
792,1,1,1,1
827,1,1,1,1
866,1,1,1,1
899,1,1,1,1
933,1,1,1,1
965,1,1,1,1
1001,1,1,1,1
1031,1,1,1,1
1062,1,1,1,1
1096,1,1,1,1
1132,1,1,1,1
1166,1,1,1,1
1198,1,1,1,1
1234,1,1,1,1
1270,1,1,1,1
1301,1,1,1,1
1333,1,1,1,1
1371,1,1,1,1
1400,1,1,1,1
1435,1,1,1,1
1468,1,1,1,1
1497,1,1,1,1
1528,1,1,1,1
1565,1,1,1,1
1599,1,1,1,1
1633,1,1,1,1
1668,1,1,1,1
1702,1,1,1,1
1734,1,1,1,1
1763,1,1,1,1
1796,1,1,1,1
1830,1,1,1,1
1864,1,1,1,1
1898,1,1,1,1
1933,1,1,1,1
1967,1,1,1,1
