tick,25,2,24,23,21,20,26,32,14,34,15,13,27,35,10,7,16,47,29,37,38,8,41,42,49,43,12,44,33,46,31,48,39,11,18,9,36,1,22,40,17,0,19,4,5,3,6,45,30
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1
47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1
62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1
80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1
97,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,0.9,1,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1
116,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,0.9,1,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,0.95
130,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,0.85,1,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,0.95
150,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,0.8,1,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,0.95
167,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,0.75,1,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,0.95
184,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,0.7,1,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.85,1,0.95
201,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,0.7,1,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,0.95
222,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,0.65,1,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.95
239,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,0.65,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.95
